date,user,location,text
2022-03-14 11:01:14,SatbirDhillon22,,it was so inspiring watching #teampanasonic’s noah elliott compete at the #winterparalympics  join us in congratula  
2022-03-14 10:55:34,Whitehead_Found,,congratulations to all of the athletes who competed in the #winterparalympics in beijing.what are you going to ta  
2022-03-14 10:30:00,GBSnowsport,United Kingdom,:bouquet::2nd_place_medal: menna fitzpatrick :2nd_place_medal::bouquet:here's the moment @mennafitz solidified her status as @paralympicsgb's most decorated wint  
2022-03-14 10:23:23,hRHyQEWOZM8GHg8,,#winterparalympics#closing ceremony 
2022-03-14 10:07:59,scarfreeworld,"London, UK",a huge congratulations to the 564 athletes who competed in this year’s #winterparalympics  as well as neil simpson   
2022-03-14 09:55:44,dsuksnowsport,UK,from seeing the first gb snowboard medal and first woman competing in nordic  to the simpsons’ first men’s gold and  
2022-03-14 09:49:32,AmazingChaoyang,"Chaoyang, Beijing",:smiling_face_with_open_hands::sparkles:after a warmly applauded closing ceremony &amp; the extinguishing of the @paralympics flame  the @beijing2022  
2022-03-14 09:34:19,CGTNSportsScene,"北京, 中华人民共和国",#beijing2022 #winterparalympics:small_orange_diamond:athletes competed in 78 events across 6 sports:small_orange_diamond:there were 96 athletes from china   
2022-03-14 09:19:03,PWD_China,,:skier::3rd_place_medal:the para cross-country skier li panpan from east #china's #zhejiang province clinched the women's long and short  
2022-03-14 09:17:52,paraicehockey,"Bonn, Germany",a closing ceremony to remember  :smiling_face_with_heart-eyes:see you in :keycap_4: years in @milanocortina26  :Italy::waving_hand:#winterparalympics |  
2022-03-14 09:00:01,Tsinghua_Uni,Beijing,meet riley  austrian paralympian carina edlinger’s guide dog  not only does riley guide edlinger to the podium at h  
2022-03-14 08:59:19,BusinessBeijing,"Beijing, China",saying goodbye to #beijing2022 and #shueyrhonrhon  we are looking forward to seeing you in #italy in 2026  :sparkling_heart:  
2022-03-14 08:52:02,asianparalympic,United Arab Emirates,thank you #beijing for an amazing games  :smiling_face_with_heart-eyes: 谢谢  #winterparalympics #beijing2022 @beijing2022 l @parasnowsports l  
2022-03-14 08:48:20,ChinaEmbinCH,"Bern, Switzerland",#winterparalympics concludes  but it's not goodbye. #beijing2022 paralympics will continue to inspire &amp; encourage  
2022-03-14 08:42:33,Quicktake,,“it’s a result for (the) people of ukraine. they need this victory because it’s hope.”ukraine finished 2nd in the  
2022-03-14 08:21:01,globaltimesnews,"Beijing, China",#olympic fine arts 2022 exhibition promoting the spirit of #beijing2022 #winterparalympics kicked off in beijing on  
2022-03-14 08:18:54,CGTNSportsScene,"北京, 中华人民共和国",:fireworks:fireworks lit up the sky over the national stadium (bird's nest) at the end of the #closingceremony of the  
2022-03-14 08:17:32,Paralympics,,at the #closingceremony  we said farewell to the #winterparalympics.  :red_heart::blue_heart::green_heart: thank you so much  #beijing2022. 
2022-03-14 08:10:55,CGTNSportsScene,"北京, 中华人民共和国",#beijing2022 #winterparalympics :airplane:exits at capital international airport reaching peak:small_blue_diamond:more than 68% of personnel  
2022-03-14 08:00:01,Tsinghua_Uni,Beijing,moments of tension during the curling competition at @beijing2022  where the chinese athletes’ bright red wheelchai  
